full_name,created_at,updated_at,size,stargazers_count,language,has_issues,forks_count,archived,open_issues_count,topics,open_issues,description,fork,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_Kubewarden,has_opagatekeeper,contributors_count
Azure-Samples/azure-digital-twins-getting-started,2021-03-22T16:07:14Z,2025-03-11T10:38:03Z,10329,28,ShaderLab,True,25,False,6,,6,Resources for getting started with Azure Digital Twins,False,False,True,False,False,False,False,False,False,False,12
Azure/ShieldGuard,2022-11-07T23:48:20Z,2025-03-24T17:06:37Z,456,9,Go,True,7,False,6,secops,6,Enables best security practices for your project from day zero.,False,True,False,False,False,False,False,False,False,False,6
Azure/ato-toolkit,2020-03-26T20:42:12Z,2025-02-24T13:43:05Z,166604,80,PowerShell,True,45,False,14,,14,On this page you'll find everything you need to get started with the Azure blueprint for Zero Trust. This blueprint is currently in preview.,False,False,False,True,False,False,False,False,False,True,18
Azure/ato-toolkit,2020-03-26T20:42:12Z,2025-02-24T13:43:05Z,166604,80,PowerShell,True,45,False,14,,14,On this page you'll find everything you need to get started with the Azure blueprint for Zero Trust. This blueprint is currently in preview.,False,True,False,False,False,False,False,False,False,False,18
Azure/azure-remote-rendering,2020-01-11T00:47:04Z,2025-02-02T16:48:11Z,250081,109,HTML,True,39,False,3,,3,SDK and samples for Azure Remote Rendering,False,False,True,False,False,False,False,False,False,False,19
Bearer/bearer,2022-09-27T17:02:45Z,2025-04-04T03:38:35Z,25206,2250,Go,True,125,False,23,"appsec,code-quality,compliance,dataflow,devsecops,devsecops-tools,gdpr,owasp,privacy,sast,security,security-audit,security-automation,security-scanner,security-tools,static-analysis,static-code-analysis,vulnerabilities,vulnerability",23,"Code security scanning tool (SAST) to discover, filter and prioritize security and privacy risks.",False,True,False,False,False,False,False,False,False,False,15
CHERIoT-Platform/network-stack,2023-12-13T18:14:51Z,2025-04-03T00:44:39Z,415,7,C++,True,8,False,15,,15,,False,True,False,False,False,False,False,False,False,False,5
Checkmarx/kics,2020-07-08T21:46:15Z,2025-04-05T08:31:38Z,829497,2260,Open Policy Agent,True,323,False,224,"appsec,cloudnative,devsecops,golang,hacktoberfest,iac,infrastructure-as-code,open-policy-agent,security,security-tools,vulnerability-detection,vulnerability-scanners",224,"Find security vulnerabilities, compliance issues, and infrastructure misconfigurations early in the development cycle of your infrastructure-as-code with KICS by Checkmarx.",False,True,False,False,False,False,False,False,False,False,150
Cigna/confectionery,2021-03-12T14:20:03Z,2025-02-15T19:54:39Z,240,190,Open Policy Agent,True,13,False,0,,0,A library of rules for Conftest used to detect misconfigurations within Terraform configuration files,False,True,False,False,False,False,False,False,False,False,5
CircleCI-Public/circleci-cli,2018-06-19T14:30:01Z,2025-03-31T11:44:21Z,21523,420,Go,True,237,False,135,"circle-ci,circleci,cli,command-line-tool,continuous-delivery,continuous-integration,developer-tools,devops,golang,graphql,tool",135,Use CircleCI from the command line,False,True,False,False,False,False,False,False,False,False,126
CiscoDevNet/sdwan-devops,2019-07-15T18:59:53Z,2025-04-04T03:03:29Z,8271,87,Jinja,True,49,False,5,,5,SD-WAN DevOps Tools,False,True,False,False,False,False,False,False,False,False,15
ContainerSSH/examples,2021-03-16T06:19:02Z,2025-04-03T22:55:58Z,39,16,Shell,True,15,False,3,containerssh,3,ContainerSSH examples,False,True,False,False,False,False,False,False,False,False,9
DataDog/security-agent-policies,2020-07-30T20:34:49Z,2025-03-20T16:19:41Z,15329,24,Open Policy Agent,True,6,False,2,,2,Policies for Security Agent - compliance and runtime checks,False,True,False,False,False,False,False,False,False,False,27
DeadZoneLuna/css-community,2019-01-30T19:02:11Z,2025-04-04T15:05:42Z,226762,23,C++,False,17,False,0,,0,Counter Strike Source: Community Edition is open source port of the leaked 2007 Source engine leak of the award winner Counter Strike Source. This mod is orient to Community so everyone can grow the mod whit his Contributions.,False,False,True,False,False,False,False,False,False,False,2
DownFall-Team/DownFall,2017-04-23T00:24:19Z,2024-02-15T19:52:25Z,470192,13,C++,True,9,False,0,,0,DownFall Modification for Half-Life 2,False,False,True,False,False,False,False,False,False,False,20
FernandoCalmet/design-patterns,2020-07-07T12:07:40Z,2025-03-26T21:17:46Z,11914,60,PHP,True,7,False,0,"best-practices,csharp,dotnet,java,laravel,patrones-diseno,pattern-design,php,software-engineering",0,✨Los patrones de diseño representan las mejores prácticas utilizadas por los desarrolladores de software orientados a objetos con experiencia. Los patrones de diseño son soluciones a los problemas generales que enfrentan los desarrolladores de software durante el desarrollo de software.,False,False,True,False,False,False,False,False,False,False,2
Hyperledger-TWGC/tape,2019-09-04T13:29:56Z,2025-03-07T01:51:09Z,1446,220,Go,True,69,False,6,"bottleneck,fabric,hyperledger-fabric,performance,test,tool,traffic-generator",6,A Simple Traffic Generator for Hyperledger Fabric,False,True,False,False,False,False,False,False,False,False,16
IBM-Cloud/terraform-opa-ibm,2020-11-13T15:43:28Z,2025-01-10T15:13:35Z,6093,17,Open Policy Agent,True,9,False,0,"ibm-cloud,open-policy-agent,rego,terraform",0,"An OPA library to develop IT Control policies, for the IBM Cloud",False,True,False,False,False,False,False,False,False,False,6
Legit-Labs/legitify,2022-07-14T15:10:54Z,2025-03-31T08:53:57Z,4494,799,Go,True,64,False,16,"ci,devops,devsecops,github,gitlab,golang,sdlc-security,security,security-scanner,supply-chain-security",16,Detect and remediate misconfigurations and security risks across all your GitHub and GitLab assets,False,True,False,False,False,False,False,False,False,False,28
MicrosoftDocs/mslearn-mr-adt-in-unity,2021-05-13T04:17:04Z,2024-11-14T22:25:14Z,37565,68,C#,True,58,False,8,,8,This is a repo that holds the sample code for the Mixed Reality and Azure Digital Twins in Unity Learn Path,False,False,True,False,False,False,False,False,False,False,5
MicrosoftEdge/WebView2Samples,2019-05-03T21:33:28Z,2025-04-04T03:32:01Z,24631,920,C++,True,493,False,65,,65,Microsoft Edge WebView2 samples,False,False,True,False,False,False,False,False,False,False,33
NSudharsan/HoloLensExamples,2019-02-22T19:09:18Z,2024-10-19T14:42:13Z,555214,41,C#,True,28,False,0,,0,Example projects for basic HoloLens features,False,False,True,False,False,False,False,False,False,False,2
NewbMiao/opa-koans,2020-03-11T07:20:49Z,2025-02-04T03:31:21Z,2452,53,Shell,True,9,False,11,"docker-compose,golang,grafana,nodejs,opa,openpolicyagent,prometheus,rbac,rego,rust,vscode-opa,wasm",11,koans for OPA,False,True,False,False,False,False,False,False,False,False,5
OT-CONTAINER-KIT/redis,2020-03-25T08:05:22Z,2025-04-03T05:59:20Z,100,26,Shell,True,56,False,10,"hacktoberfest,hacktoberfest-accepted",10,A production optimized redis docker image,False,False,True,False,False,False,False,False,False,False,20
PTG-Kitware/angel_system,2022-01-05T16:44:58Z,2025-01-06T15:42:35Z,214639,8,Jupyter Notebook,True,17,False,24,,24,,False,False,True,False,False,False,False,False,False,False,28
PacktPublishing/Accelerating-DevSecOps-on-AWS,2021-10-06T08:11:33Z,2025-04-01T02:43:39Z,10413,13,Python,True,22,False,0,,0,"Accelerating DevSecOps on AWS, published by Packt ",False,False,False,True,False,False,False,False,False,True,9
PacktPublishing/Accelerating-DevSecOps-on-AWS,2021-10-06T08:11:33Z,2025-04-01T02:43:39Z,10413,13,Python,True,22,False,0,,0,"Accelerating DevSecOps on AWS, published by Packt ",False,False,True,False,False,False,False,False,False,False,9
PacktPublishing/Azure-Active-Directory-for-Secure-Application-Development,2021-02-04T15:06:53Z,2024-11-15T10:50:05Z,27194,7,C#,True,9,False,0,,0,"Azure Active Directory for Secure Application Development, published by Packt",False,False,True,False,False,False,False,False,False,False,5
PacktPublishing/HashiCorp-Infrastructure-Automation-Certification-Guide,2021-04-08T06:19:33Z,2025-03-29T05:46:04Z,112,38,HCL,True,60,False,0,,0,"Hashicorp Infrastructure Automation Certification Guide, published by Packt",False,False,True,False,False,False,False,False,False,False,5
PacktPublishing/Kubernetes---An-Enterprise-Guide-2E,2021-07-14T02:39:47Z,2025-04-03T13:03:36Z,2316,104,Open Policy Agent,True,88,False,2,,2,Kubernetes - An Enterprise Guide 2E,False,False,False,True,False,False,False,False,False,True,8
PacktPublishing/Kubernetes---An-Enterprise-Guide-2E,2021-07-14T02:39:47Z,2025-04-03T13:03:36Z,2316,104,Open Policy Agent,True,88,False,2,,2,Kubernetes - An Enterprise Guide 2E,False,True,False,False,False,False,False,False,False,False,8
PacktPublishing/Kubernetes-An-Enterprise-Guide-Third-Edition,2023-06-07T05:13:40Z,2025-04-05T22:00:45Z,23303,86,Shell,True,54,False,1,,1,"Kubernetes – An Enterprise Guide, Third Edition - Published by Packt",False,False,False,True,False,False,False,False,False,True,7
PacktPublishing/Kubernetes-An-Enterprise-Guide-Third-Edition,2023-06-07T05:13:40Z,2025-04-05T22:00:45Z,23303,86,Shell,True,54,False,1,,1,"Kubernetes – An Enterprise Guide, Third Edition - Published by Packt",False,True,False,False,False,False,False,False,False,False,7
PacktPublishing/Terraform-Cookbook,2020-02-05T05:39:25Z,2024-11-05T18:41:41Z,27846,135,HCL,True,203,False,0,,0,Terraform Cookbook by Packt,False,False,True,False,False,False,False,False,False,False,9
